club,reason
Club Brujas KV U19,no_id
RB Leipzig,no_id
UD Logroñés,no_id
Sint-Truidense VV,no_id
US Catanzaro,no_id
Brøndby IF,no_id
Unión Magdalena,no_id
SE Palmeiras Sao Paulo U20,no_id
TSG 1899 Hoffenheim,no_id
Ajax Amsterdam U21,no_id
USL Dunkerque,no_id
BSC Young Boys,no_id
FC Dinamo de Kiev,no_id
Club NXT,no_id
Cerezo Osaka,no_id
Partizan de Belgrado,no_id
SC Verl,no_id
Frosinone Calcio,no_id
AS Saint-Étienne,no_id
Everton Viña del Mar,no_id
RKC Waalwijk,no_id
EA Guingamp,no_id
FC Emmen,no_id
FK Bodø/Glimt,no_id
Clermont Foot 63,no_id
Rosenborg BK,no_id
FC Sochaux,no_id
FC Alverca,no_id
CA Petróleos Luanda,no_id
FC Paços de Ferreira,no_id
VfB Stuttgart II,no_id
Jagiellonia Bialystok,no_id
De Graafschap Doetinchem,no_id
Willem II Tilburg,no_id
Atalanta BC U23,no_id
Girona FC B,no_id
KV Mechelen,no_id
Al-Ahli SFC,no_id
AF Barô Diallo,no_id
SS Juve Stabia,no_id
FC Energie Cottbus,no_id
SM Caen,no_id
Viking FK,no_id
Ourense CF,no_id
AS Roma U20,no_id
CA Huracán,no_id
Dyoc,no_id
Levante UD,no_id
SSV Jahn Regensburg,no_id
Motor Lublin,no_id
Atlético Sanluqueño CF,no_id
RCD Espanyol B,no_id
FC Annecy,no_id
ADO Den Haag,no_id
Atlético Madrileño ,no_id
Kamimura Gakuen HS,no_id
GD Estoril Praia U23,no_id
Goiás EC,no_id
Atlético Madrileño,no_id
VfB Stuttgart U19,no_id
SS Lazio U20,no_id
CA Vélez Sarsfield U16,no_id
SC Paderborn 07,no_id
AC Sparta Praga U19,no_id
AS Nancy-Lorraine,no_id
FC Den Bosch,no_id
AC Sparta Praga B,no_id
SC Bastia,no_id
US Boulogne,no_id
KAA Gent,no_id
Grasshopper Club Zurich,no_id
Xerez DFC,no_id
AFC Bournemouth U21,no_id
Empoli FC,no_id
Cape Town City FC,no_id
Pogon Grodzisk Mazowiecki,no_id
TPS,no_id
Legia Warszawa U19,no_id
FK Buducnost Podgorica,no_id
HNK Gorica,no_id
Wisla Plock,no_id
Dinamo Tbilisi,no_id
CA Osasuna Promesas,no_id
Le Mans FC,no_id
Al-Fayha FC,no_id
SSV Ulm 1846,no_id
Burgos CF,no_id
Brøndby U19,no_id
Paradou AC,no_id
Kairat Almaty U19,no_id
Köln U19,no_id
Monagas SC,no_id
Kashima Antlers,no_id
AS Monaco,no_id
Borac Banja Luka,no_id
Jong Essevee,no_id
Académie Mohammed VI de football,no_id
UC Sampdoria U20,no_id
Concordia Chiajna,no_id
KKS 1925 Kalisz,no_id
Universitario de Deportes,no_id
Ranheim IL,no_id
Cádiz CF U19,no_id
UD Tomares,no_id
MSK Zilina,no_id
FK Novi Pazar ,no_id
AD Ceuta FC B,no_id
AIK,no_id
KF Tirana,no_id
AD Alcorcón,no_id
Marbella FC,no_id
CD Mosquito,no_id
JKT Tanzania FC,no_id
UD Melilla,no_id
RCR Huelva,no_id
Conil CF,no_id
KKS Lech Poznan,no_id
Tromsø IL,no_id
Coria CF,no_id
CD Castellón B,no_id
Stal Rzeszow,no_id
FC Montfermeil U19,no_id
Royal Charleroi SC,no_id
Atalanta BC U20,no_id
Arenas de Armilla Cultura y Deporte CF,no_id
CA Vélez Sarsfield U20,no_id
Pogon Siedlce,no_id
Danubio FC,no_id
Granada CF,no_id
Wakati Ujao,no_id
Cádiz CF Mirandilla,no_id
CD América de Cali U20,no_id
CD Basconia,no_id
CD Las Rozas U19,no_id
CF Lorca Deportiva,no_id
FC Versailles U18,no_id
Cavese 1919,no_id
Twalipo Academy,no_id
Los Angeles Galaxy Academy,no_id
SD Ejea,no_id
Olympique Lyonnais U19,no_id
FK IMT Belgrad U17,no_id
FC Sion U21,no_id
Aqvital FC Csakvar,no_id
CD Tenerife,no_id
Gil Vicente FC U23,no_id
Acádemico Viseu FC,no_id
Recreativo Granada,no_id
UD Ourense,no_id
Instituto ACC II,no_id
CD San Félix,no_id
FC RFS U19,no_id
Albion FC,no_id
Varbergs BoIS,no_id
FK Panev?žys,no_id
UD Maracena,no_id
Dinamo Tbilisi Academy,no_id
Pafos FC U19,no_id
Sin Equipo,no_id
FC 93 Bobigny U19,no_id
Renaissance de Berkane Youth,no_id
Moreirense FC,no_id
UCD La Cañada Atlético,no_id
FC Penafiel,no_id
Cádiz CF C,no_id
ES Grand-Yoff,no_id
UE Cornellà B,no_id
Young African Promises,no_id
FC Rouen 1899,no_id
Botev Plovdiv,no_id
FC Cartagena,no_id
HSK Zrinjski Mostar,no_id
Rodez AF,no_id
CF Estrela Amadora U23,no_id
SCR Altach,no_id
Dana Academy,no_id
NK Hrvace,no_id
CD Vázquez Cultural,no_id
Real Murcia CF,no_id
FK Orenburg,no_id
Blackburn Rovers U18,no_id
Development Talent,no_id
CD Extremadura 1924,no_id
EC Meia Noite U20,no_id
Polissya Zhytomyr U19,no_id
Football Bourg-en-Bresse Péronnas 01,no_id
Melbourne City FC,no_id
FC Villefranche-Beaujolais,no_id
Sao Paulo FC U20,no_id
Algeciras CF,no_id
Tefa,no_id
CE Atlètic Lleida,no_id
FC Basilea,no_id
SK Slavia Praga U20,no_id
FC Cyclones,no_id
FK Buducnost Podgorica U19,no_id
SC Aubagne Air Bel,no_id
FC Vizela U23,no_id
Quevilly - Rouen Métropole,no_id
LB Châteauroux,no_id
US Concarneau,no_id
Dijon FCO,no_id
US Órleans,no_id
Paris 13 Atletico,no_id
Quevilly Rouen Métropole,no_id
FC Versailles 78,no_id
SCU Torreense U23,no_id
Carnoux FC,no_id
UD Leiria U23,no_id
SC Farense U23,no_id
Olympique de Marsella U19,no_id
Eintracht Frankfurt U19,no_id
Colorado Rapids,no_id
Toronto FC,no_id
Club Estudiantes de La Plata,no_id
Instituto ACC,no_id
SSC Bari,no_id
Aalesunds FK,no_id
Fredrikstad FK,no_id
MTK Budapest,no_id
Al-Jazira Club,no_id
Feyenoord,no_id
FC Zürich U21,no_id
Tsukuba University,no_id
SK Slavia Praga B,no_id
Club Brujas KV,no_id
1. FC Núremberg?,no_id
Cruzeiro EC U20,no_id
CR Vasco da Gama U20,no_id
FC Nordsjælland,no_id
Shakhtar Donetsk,no_id
SE Palmeiras Sao Paulo U15,no_id
AS Roma U18,no_id
SV Wehen Wiesbaden,no_id
FK Zeleznicar Pancevo,no_id
FC Liefering,no_id
KAA Gante,no_id
Hamarkameratene,no_id
Lillestrøm SK,no_id
CD Mirandés,no_id
Parma U20,no_id
CD América de Cali,no_id
CA Lanús,no_id
Llaneros FC,no_id
Club de Gimnasia y Esgrima La Plata,no_id
Club Atlético Tucumán,no_id
ETO FC,no_id
Botafogo de Futebol e Regatas,no_id
FK Radnicki 1923 Kragujevac,no_id
Real Unión Club,no_id
Leixões SC U23,no_id
Acádemico Viseu FC U23,no_id
Gillingham FC,no_id
UD Oliveirense,no_id
FCI Levadia,no_id
US Avellino 1912,no_id
Lokomotiv Plovdiv,no_id
SKU Amstetten,no_id
Vendsyssel FF,no_id
Swit Szczecin,no_id
FC Sellier & Bellot Vlasim,no_id
Kaizer Chiefs,no_id
SK Artis Brno,no_id
Beerschot VA,no_id
CA Talleres II,no_id
KAS Eupen,no_id
Royal Franc Borains,no_id
Royal Football Club de Lieja,no_id
CA Tigre II,no_id
CA Newell's Old Boys II,no_id
CA Sarmiento II,no_id
Club Atlético Tucumán II,no_id
Club Atlético Banfield II,no_id
CA Vélez Sarsfield II,no_id
Royal Olympic Club de Charleroi,no_id
Royal Football Club Seraing,no_id
Football Club Gazalkent,no_id
Club Atlético Aldosivi II,no_id
Le Renaissance Football Club de Conakry,no_id
CD Godoy Cruz Antonio Tomba II,no_id
Gimnasia y Esgrima de Mendoza II,no_id
Club Estudiantes de La Plata II,no_id
CA Lanús II,no_id
Club Brujas NXT,no_id
AKA Voralberg U19,no_id
